Hour,Baseline (kWh),New HP
635,3.875474,3.40664
636,3.325573,2.8277609999999997
637,2.972563,2.500751
638,3.495258,3.083687
639,2.648016,2.29468
640,2.1242310000000004,1.814834
641,2.295988,1.913891
642,3.191812,2.756972
643,2.824017,2.488279
644,4.278698,4.024547999999999
645,3.266899,3.005574
646,3.317593,2.98436
647,2.825586,2.441509
648,2.862533,2.4629750000000006
649,2.601483,2.338525
650,2.8821570000000003,2.4542020000000004
651,3.167163,2.5800500000000004
652,3.079081,2.637497
653,2.940341,2.656882
654,3.656931,3.199056
655,3.914446,3.462754
656,4.846455,4.386344
657,3.7221819999999997,2.9084090000000002
658,2.964024,2.4760479999999996
659,3.1416,2.575165
660,2.68255,2.2549580000000002
661,1.9776749999999998,1.634713
662,1.7219179999999998,1.4346869999999998
663,1.501526,1.2857850000000002
664,1.402056,1.230465
665,1.854087,1.6842739999999998
666,1.987873,1.757426
667,2.5426550000000003,2.360869
668,2.478402,2.280952
669,2.219523,1.963801
670,2.0299970000000003,1.753406
671,1.901039,1.5906300000000002
672,1.816832,1.462828
673,1.9372829999999999,1.511826
674,2.049268,1.662871
675,2.1736750000000002,1.7837809999999998
676,2.309439,1.879256
677,2.787161,2.348429
678,2.5060600000000006,2.033541
679,3.96149,3.504149
680,3.902688,3.3573760000000004
681,6.509347,6.124524
682,5.21179,4.916807
683,3.67619,3.349772
684,1.662119,1.420788
685,1.470578,1.292157
686,1.356777,1.1986240000000001
687,1.611714,1.504342
688,1.535412,1.482972
689,1.583679,1.517949
690,1.532461,1.403789
691,1.596626,1.4831690000000002
692,1.6018219999999999,1.47056
693,2.087852,1.916289
694,1.6942650000000001,1.478001
695,2.004102,1.749219
696,1.498262,1.2028889999999999
697,1.952334,1.627718
698,1.568514,1.232737
699,1.8262360000000002,1.420857
700,2.003085,1.752478
701,1.865137,1.4544860000000002
702,2.586494,2.0994140000000003
703,2.435678,2.057621
704,2.626007,2.03941
705,2.58385,2.137138
706,2.89896,2.5439160000000003
707,2.854534,2.5434810000000003
708,2.4876970000000003,2.321373
709,1.41367,1.273271
710,1.329974,1.201738
711,2.099596,2.003169
712,1.225301,1.121886
713,1.32895,1.210083
714,1.5491780000000002,1.425587
715,1.591818,1.486796
716,3.868391,3.793167
717,1.668374,1.532788
718,1.478847,1.329019
719,1.356864,1.152146
720,1.198136,0.979074
721,1.1755,0.9238010000000001
722,1.171829,0.898302
723,1.208782,0.913418
724,1.189404,0.9295249999999999
725,1.6737270000000002,1.352318
726,1.348536,1.028663
727,1.700184,1.3102579999999997
728,4.45149,4.14251
729,6.516313,6.355581
730,2.0326969999999998,1.731658
731,3.152753,2.950806
732,1.375403,1.261869
733,1.2039760000000002,1.1536300000000002
734,1.996086,1.961054
735,0.997433,0.9817899999999999
736,1.033255,0.9997820000000001
737,1.076055,1.059325
738,1.311422,1.275166
739,1.3509939999999998,1.331013
740,2.204984,2.181436
741,1.695006,1.658926
742,1.282057,1.196779
743,2.866474,2.7349580000000002
744,3.187005,3.0077109999999996
745,1.6745050000000001,1.382882
746,1.5374649999999999,1.181111
747,1.931557,1.486913
748,2.311576,1.852352
749,2.112822,1.825446
750,2.405738,1.949681
751,3.8128319999999998,3.165711
752,3.305901,3.063283
753,3.985643,3.307125
754,4.149544,3.591422
755,3.180801,3.002323
756,3.418326,2.655358
757,3.370547,2.917592
758,3.811069,3.237978
759,2.711611,2.2163180000000002
760,2.237266,1.777614
761,2.032937,1.68401
762,2.622171,2.2828600000000003
763,2.109217,1.78199
764,2.245072,2.064821
765,2.493704,2.1440010000000003
766,1.914403,1.641451
767,1.699879,1.419716
768,1.969617,1.6600899999999998
769,1.52507,1.194068
770,2.640446,2.135994
771,2.635405,2.13151
772,2.1370859999999996,1.807314
773,2.740533,2.082613
774,2.448217,2.045486
775,4.90792,4.220453
776,3.331582,2.861475
777,3.971426,3.6638409999999997
778,3.499243,2.8305320000000003
779,3.37144,2.870829
780,2.969886,2.489638
781,2.8247150000000003,2.371818
782,2.642329,2.193421
783,2.700014,2.284083
784,3.573027,3.125029
785,3.851921,3.3855030000000004
786,3.6837220000000004,3.2145230000000002
787,3.275061,2.857059
788,3.3778710000000003,2.969435
789,3.758491,3.405082
790,3.758089,3.3651060000000004
791,4.805302,4.496931
792,4.150176,3.7192399999999997
793,3.814629,3.38877
794,3.568033,3.153254
795,3.86511,3.349584
796,3.459958,3.264574
797,4.315782,3.8522570000000003
798,8.804142,8.16232
799,6.298509,5.81574
800,5.757954,5.412972
801,5.275686,4.525267
802,6.128183,5.626042
803,4.704074,4.224685
804,3.815377,3.304329
805,3.884759,3.376145
806,3.1823420000000002,2.660545
807,2.925015,2.430401
808,2.661775,2.275887
809,3.019642,2.668738
810,3.362934,2.883859
811,3.1727779999999997,2.800328
812,3.960643,3.608399
813,3.751577,3.387961
814,3.7788429999999997,3.408091
815,3.28047,2.923694
816,3.305661,2.918471
817,4.805886,4.442443
818,3.183662,2.933523
819,3.809715,3.18904
820,3.337477,3.058696
821,3.613572,3.141066
822,5.26965,4.809725
823,4.743285,4.096879
824,4.430432,3.74198
825,4.38337,3.909501
826,4.389566,3.780558
827,4.251633,3.719848
828,3.266789,2.7342820000000003
829,2.367549,1.9029310000000002
830,2.535748,2.171708
831,2.251983,1.7607929999999998
832,2.859653,2.498048
833,2.3724250000000002,2.076955
834,2.648534,2.17671
835,3.463513,3.16997
836,3.176002,2.8437620000000003
837,3.835002,3.492645
838,3.352939,2.981736
839,2.914729,2.520089
840,2.8119899999999998,2.37802
841,2.786002,2.419978
842,3.170136,2.675868
843,3.111364,2.777289
844,3.844018,3.341587
845,3.477028,3.119287
846,3.429478,3.141817
847,4.96185,4.346874
848,4.64224,4.168074
849,4.073387,3.28441
850,5.356753,4.913386
851,3.804718,3.3212040000000003
852,2.961603,2.467245
